batchId,itemId,listingIdOrSlug,title,currentSourceUrl,currentVerdict,recommendedAction,targetFit,whyNeedsReview
002,cmn2115c200aasb110ul4c1ce,cmn2115c200aasb110ul4c1ce,JPS Health Network,https://www.jpshealthnet.org/,GENERIC_HOMEPAGE,NEEDS_BETTER_SOURCE,TARGET_USCE_MATCH,Source URL is a generic institution homepage; Recommended action: better source URL needed
002,cmn2111ay000wsb11a14w9t73,cmn2111ay000wsb11a14w9t73,Kings County Hospital Center,https://www.nychealthandhospitals.org/kingscounty/,GENERIC_HOMEPAGE,NEEDS_BETTER_SOURCE,TARGET_USCE_MATCH,Source URL is a generic institution homepage; Recommended action: better source URL needed
002,cmn2114yf009esb11j10sd1ub,cmn2114yf009esb11j10sd1ub,Kingsbrook Jewish Medical Center,https://www.ecfmg.org/,GENERIC_HOMEPAGE,NEEDS_BETTER_SOURCE,TARGET_USCE_MATCH,Source URL is a generic institution homepage; Recommended action: better source URL needed
002,cmn21119k000ssb11aj30itn0,cmn21119k000ssb11aj30itn0,Lincoln Medical Center,https://www.nychealthandhospitals.org/lincoln/,GENERIC_HOMEPAGE,NEEDS_BETTER_SOURCE,TARGET_USCE_MATCH,Source URL is a generic institution homepage; Recommended action: better source URL needed
002,cmn2111r6001ysb11czxooaqe,cmn2111r6001ysb11czxooaqe,Loma Linda University Medical Center,https://lluh.org/,GENERIC_HOMEPAGE,NEEDS_BETTER_SOURCE,TARGET_USCE_MATCH,Source URL is a generic institution homepage; Recommended action: better source URL needed
002,cmn2115lj00ausb11hvghc4u6,cmn2115lj00ausb11hvghc4u6,Loma Linda University Medical Center,https://lluh.org/,GENERIC_HOMEPAGE,NEEDS_BETTER_SOURCE,TARGET_USCE_MATCH,Source URL is a generic institution homepage; Recommended action: better source URL needed
002,cmn2113cs005msb11f4e79jnf,cmn2113cs005msb11f4e79jnf,LSU Health New Orleans / University Medical Center,https://www.medschool.lsuhsc.edu/,GENERIC_HOMEPAGE,NEEDS_BETTER_SOURCE,TARGET_USCE_MATCH,Source URL is a generic institution homepage; Recommended action: better source URL needed
002,cmn2111rw0020sb112s14bfsn,cmn2111rw0020sb112s14bfsn,Massachusetts General Hospital,https://www.massgeneral.org/education,GENERIC_HOMEPAGE,NEEDS_BETTER_SOURCE,TARGET_USCE_MATCH,Source URL is a generic institution homepage; Recommended action: better source URL needed
002,cmn2115to00bgsb111aw38w0l,cmn2115to00bgsb111aw38w0l,Medical University of South Carolina (MUSC),https://web.musc.edu/,GENERIC_HOMEPAGE,NEEDS_BETTER_SOURCE,TARGET_USCE_MATCH,Source URL is a generic institution homepage; Recommended action: better source URL needed
002,cmn2113gf005wsb11f05bfy8c,cmn2113gf005wsb11f05bfy8c,Medical University of South Carolina (MUSC),https://web.musc.edu/,GENERIC_HOMEPAGE,NEEDS_BETTER_SOURCE,TARGET_USCE_MATCH,Source URL is a generic institution homepage; Recommended action: better source URL needed
002,cmn2112790030sb11lgcyjgkr,cmn2112790030sb11lgcyjgkr,MedStar Georgetown University Hospital,https://www.medstarhealth.org/education,GENERIC_HOMEPAGE,NEEDS_BETTER_SOURCE,TARGET_USCE_MATCH,Source URL is a generic institution homepage; Recommended action: better source URL needed
