id,title,sourceUrl,contentVerdict,contentReason,sourceHttpStatus,sourceFinalUrl,recommendedAction,uscehubScreenshot,sourceScreenshot,jsonSidecar,note,targetFit,targetFitReason,matchRelevance,manualReviewNeeded,excludeFromCurrentWedge,futureLaneCandidate
cmn21148x007qsb1199j7n8yn,"Children's Hospital of Philadelphia (CHOP)","https://www.chop.edu/services/international-observership-program",PATH_HINTS_PROGRAM,"path_keywords:observership,observer",200,"https://www.chop.edu/services/international-observership-program",KEEP_SOURCE,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn21148x007qsb1199j7n8yn-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmn21148x007qsb1199j7n8yn-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn21148x007qsb1199j7n8yn-20260502.json,"Source URL path matches program keyword; visual confirmation still needed.",TARGET_USCE_MATCH,"Generic observership / externship / elective / rotation framing.",HIGH,false,false,"None"
cmn21148c007osb11lakxty40,"UAB Hospital — International Medical Observers","https://www.uab.edu/medicine/international/international-programs/observership",PATH_HINTS_PROGRAM,"path_keywords:observership,observer",200,"https://www.uab.edu/medicine/international/international-programs/observership",KEEP_SOURCE,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn21148c007osb11lakxty40-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmn21148c007osb11lakxty40-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn21148c007osb11lakxty40-20260502.json,"Source URL path matches program keyword; visual confirmation still needed.",TARGET_USCE_MATCH,"Generic observership / externship / elective / rotation framing.",HIGH,false,false,"None"
cmn21147m007msb11gq7xaz4y,"University of Kansas Medical Center (KUMC)","https://www.kumc.edu/academic-and-student-affairs/departments/office-of-international-programs/inbound-programs/information-for-irsd-observers-and-visitors/international-observership-program.html",PATH_HINTS_PROGRAM,"path_keywords:observership,observer",200,"https://www.kumc.edu/academic-and-student-affairs/departments/office-of-international-programs/inbound-programs/information-for-irsd-observers-and-visitors/international-observership-program.html",KEEP_SOURCE,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn21147m007msb11gq7xaz4y-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmn21147m007msb11gq7xaz4y-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn21147m007msb11gq7xaz4y-20260502.json,"Source URL path matches program keyword; visual confirmation still needed.",TARGET_USCE_MATCH,"Generic observership / externship / elective / rotation framing.",HIGH,false,false,"None"
cmn2113of006csb1109gg133k,"MD Anderson Cancer Center — Observer Program","https://www.mdanderson.org/education-training/outreach-programs/observer-programs/other-observership-opportunities-at-md-anderson.html",PATH_HINTS_PROGRAM,"path_keywords:observership,observer",200,"https://www.mdanderson.org/education-training/outreach-programs/observer-programs/other-observership-opportunities-at-md-anderson.html",KEEP_SOURCE,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2113of006csb1109gg133k-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmn2113of006csb1109gg133k-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2113of006csb1109gg133k-20260502.json,"Source URL path matches program keyword; visual confirmation still needed.",TARGET_USCE_MATCH,"Generic observership / externship / elective / rotation framing.",HIGH,false,false,"None"
cmn2113nm006asb11p69ala2j,"Memorial Sloan Kettering — Observership","https://www.mskcc.org/hcp-education-training/international/observership",PATH_HINTS_PROGRAM,"path_keywords:observership,observer",200,"https://www.mskcc.org/hcp-education-training/international/observership",KEEP_SOURCE,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2113nm006asb11p69ala2j-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmn2113nm006asb11p69ala2j-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2113nm006asb11p69ala2j-20260502.json,"Source URL path matches program keyword; visual confirmation still needed.",TARGET_USCE_MATCH,"Generic observership / externship / elective / rotation framing.",HIGH,false,false,"None"
cmn21138c005asb11o29sxbw4,"University of Colorado Hospital","https://medschool.cuanschutz.edu/pediatrics/education/international-trainee-observership-program",PATH_HINTS_PROGRAM,"path_keywords:observership,observer",200,"https://medschool.cuanschutz.edu/pediatrics/education/international-trainee-observership-program",KEEP_SOURCE,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn21138c005asb11o29sxbw4-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmn21138c005asb11o29sxbw4-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn21138c005asb11o29sxbw4-20260502.json,"Source URL path matches program keyword; visual confirmation still needed.",TARGET_USCE_MATCH,"Generic observership / externship / elective / rotation framing.",HIGH,false,false,"None"
cmn2112la003wsb113l7xdzlo,"Thomas Jefferson University Hospital","https://www.jefferson.edu/international-services/visa-categories/short-term-visitors/clinical-observerships.html",PATH_HINTS_PROGRAM,"path_keywords:observership,observer",200,"https://www.jefferson.edu/international-services/visa-categories/short-term-visitors/clinical-observerships.html",KEEP_SOURCE,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2112la003wsb113l7xdzlo-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmn2112la003wsb113l7xdzlo-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2112la003wsb113l7xdzlo-20260502.json,"Source URL path matches program keyword; visual confirmation still needed.",TARGET_USCE_MATCH,"Generic observership / externship / elective / rotation framing.",HIGH,false,false,"None"
cmn2112ix003qsb1178t0rg6k,"University of Florida Health / Shands Hospital","https://hr.med.ufl.edu/volunteers/onserving-shadowing-application-process/",PATH_HINTS_PROGRAM,"path_keywords:volunteer,shadowing",200,"https://hr.med.ufl.edu/volunteers/onserving-shadowing-application-process/",KEEP_SOURCE,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2112ix003qsb1178t0rg6k-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmn2112ix003qsb1178t0rg6k-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2112ix003qsb1178t0rg6k-20260502.json,"Source URL path matches program keyword; visual confirmation still needed.",TARGET_USCE_MATCH,"Generic observership / externship / elective / rotation framing.",HIGH,false,false,"None"
cmn2112hf003msb111pyw2jaa,"Cleveland Clinic Florida","https://my.clevelandclinic.org/florida/medical-professionals/education/observerships",PATH_HINTS_PROGRAM,"path_keywords:observership,observer",200,"https://my.clevelandclinic.org/florida/medical-professionals/education/observerships",KEEP_SOURCE,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2112hf003msb111pyw2jaa-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmn2112hf003msb111pyw2jaa-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2112hf003msb111pyw2jaa-20260502.json,"Source URL path matches program keyword; visual confirmation still needed.",TARGET_USCE_MATCH,"Generic observership / externship / elective / rotation framing.",HIGH,false,false,"None"
cmn2112ei003esb1173ooktb0,"MD Anderson Cancer Center","https://www.mdanderson.org/education-training/outreach-programs/observer-programs/other-observership-opportunities-at-md-anderson.html",PATH_HINTS_PROGRAM,"path_keywords:observership,observer",200,"https://www.mdanderson.org/education-training/outreach-programs/observer-programs/other-observership-opportunities-at-md-anderson.html",KEEP_SOURCE,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2112ei003esb1173ooktb0-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmn2112ei003esb1173ooktb0-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2112ei003esb1173ooktb0-20260502.json,"Source URL path matches program keyword; visual confirmation still needed.",TARGET_USCE_MATCH,"Generic observership / externship / elective / rotation framing.",HIGH,false,false,"None"
cmn2112ca0038sb11j2c6bv0t,"Houston Methodist Hospital","https://www.houstonmethodist.org/for-health-professionals/global-health-care-services/global-health-care-education/observerships/",PATH_HINTS_PROGRAM,"path_keywords:observership,observer",200,"https://www.houstonmethodist.org/for-health-professionals/global-health-care-services/global-health-care-education/observerships/",KEEP_SOURCE,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2112ca0038sb11j2c6bv0t-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/official-sources/cmn2112ca0038sb11j2c6bv0t-20260502.png,docs/platform-v2/local/screenshots/p96-existing-listings/full-304/uscehub-listings/cmn2112ca0038sb11j2c6bv0t-20260502.json,"Source URL path matches program keyword; visual confirmation still needed.",TARGET_USCE_MATCH,"Generic observership / externship / elective / rotation framing.",HIGH,false,false,"None"
