institution_name,blocked_url,blocker_type,alternate_official_url_found,wayback_available,wayback_url_if_any,official_current_source_found,outcome,notes
Billings Clinic,https://www.billingsclinic.com/medical-education/,BOT_DEFENSE_403_OR_429,,false,,false,NO_RELEVANT_PUBLIC_SOURCE_FOUND,
Michigan Medicine - University Hospital,https://medicine.umich.edu/medschool/education/md-program/visiting-medical-students,BOT_DEFENSE_403_OR_429,,false,,false,NO_RELEVANT_PUBLIC_SOURCE_FOUND,
Bellevue Hospital - NYC H+H,https://www.nychealthandhospitals.org/mosaic/visiting-scholars-program/,BOT_DEFENSE_403_OR_429,,false,,false,NO_RELEVANT_PUBLIC_SOURCE_FOUND,
Harborview Medical Center,https://www.uwmedicine.org/education/md/visiting-medical-students,BOT_DEFENSE_403_OR_429,,false,,false,NO_RELEVANT_PUBLIC_SOURCE_FOUND,
